Month of Stop,Reason for Stop,Officer Race,Officer Gender,Officer Years of Service,Driver Race,Driver Gender,Driver Age,Search Conducted,Results,CMPD Division
2020/01,Speeding,White,M,19,White,M,38,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,3,Black,F,41,No,Verbal Warning,Metro Division
2020/01,Other,White,M,3,Black,M,30,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,4,Black,F,55,Yes,Verbal Warning,University City Division
2020/01,Investigation,White,M,7,Black,M,40,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,F,2,Black,F,22,Yes,Citation,University City Division
2020/01,Vehicle Regulatory,White,M,4,White,F,21,Yes,Citation,University City Division
2020/01,Vehicle Regulatory,Black/African American,F,2,Black,M,36,Yes,Citation,Central Division
2020/01,Stop Light/Sign,White,M,25,Other/Unknown,F,35,Yes,Verbal Warning,South Division
2020/01,Vehicle Equipment,White,M,5,Black,F,37,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,2 or More,F,2,White,M,30,Yes,Verbal Warning,Freedom Division
2020/01,Vehicle Regulatory,White,M,9,Black,F,45,Yes,Citation,Independence Division
2020/01,Vehicle Equipment,White,M,5,Black,M,25,Yes,Verbal Warning,Westover Division
2020/01,Vehicle Regulatory,White,M,5,Black,M,35,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,F,2,Black,M,30,Yes,Verbal Warning,University City Division
2020/01,Stop Light/Sign,White,M,9,Black,M,25,Yes,None,Independence Division
2020/01,Speeding,White,M,20,Black,F,33,Yes,Verbal Warning,Independence Division
2020/01,Speeding,White,M,20,Black,M,33,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,White,M,7,Black,M,35,Yes,Verbal Warning,Westover Division
2020/01,Stop Light/Sign,Hispanic/Latino,M,1,White,F,54,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Equipment,White,M,13,Black,M,20,Yes,Arrest,Metro Division
2020/01,Vehicle Regulatory,White,M,8,Black,M,30,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,8,Black,M,25,No,Verbal Warning,Metro Division
2020/01,Speeding,White,M,2,Hispanic/Latino,F,23,Yes,Verbal Warning,Hickory Grove Division
2020/01,Safe Movement,White,M,2,Black,M,23,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,1,Black,F,26,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,30,No,Verbal Warning,North Tryon Division
2020/01,Other,Black/African American,M,2,Other/Unknown,M,30,Yes,None,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,35,Yes,Verbal Warning,North Tryon Division
2020/01,Safe Movement,White,M,1,Black,M,30,No,Arrest,Metro Division
2020/01,Speeding,White,M,20,White,M,33,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,33,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,1,Black,F,19,Yes,Citation,Metro Division
2020/01,Investigation,Black/African American,M,25,Black,M,52,No,Arrest,Providence Division
2020/01,Vehicle Equipment,Black/African American,M,11,White,M,35,Yes,None,North Tryon Division
2020/01,Vehicle Regulatory,White,M,5,White,F,30,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,22,Yes,Verbal Warning,University City Division
2020/01,Vehicle Equipment,Black/African American,M,4,Other/Unknown,M,29,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,30,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,34,No,Citation,Independence Division
2020/01,Vehicle Regulatory,Black/African American,M,5,Black,M,28,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,55,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,30,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,6,White,F,18,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Black,M,30,Yes,Citation,Westover Division
2020/01,Vehicle Equipment,White,F,2,White,M,30,Yes,Verbal Warning,Westover Division
2020/01,Vehicle Equipment,White,M,18,White,F,25,Yes,Verbal Warning,North Division
2020/01,Vehicle Equipment,White,M,18,Black,M,19,No,Arrest,North Division
2020/01,Vehicle Equipment,White,M,4,Black,M,17,No,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,12,Other/Unknown,M,20,Yes,None,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,35,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,Black/African American,M,5,Black,M,19,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Other/Unknown,M,25,Yes,Verbal Warning,University City Division
2020/01,Safe Movement,White,M,3,Hispanic/Latino,M,35,Yes,Arrest,North Division
2020/01,Vehicle Equipment,White,M,2,Black,F,36,No,Verbal Warning,Steele Creek Division
2020/01,Investigation,White,M,2,Black,M,31,Yes,None,Westover Division
2020/01,Vehicle Equipment,White,M,9,Black,F,25,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,20,Yes,Verbal Warning,Metro Division
2020/01,Stop Light/Sign,White,M,3,Black,F,33,Yes,Verbal Warning,Central Division
2020/01,Safe Movement,White,M,3,White,M,27,Yes,Citation,North Tryon Division
2020/01,Vehicle Regulatory,Black/African American,M,5,Black,F,25,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,5,Other/Unknown,M,25,Yes,None,Metro Division
2020/01,Stop Light/Sign,White,M,3,Black,F,45,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,White,M,7,Black,M,17,No,Arrest,Freedom Division
2020/02,Vehicle Regulatory,Not Specified,M,5,Black,F,30,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Equipment,Hispanic/Latino,M,6,Black,M,31,Yes,Verbal Warning,Freedom Division
2020/01,Vehicle Equipment,American Indian/Alaska Native,M,2,Black,M,30,Yes,Verbal Warning,Metro Division
2020/01,Speeding,White,M,10,Black,M,23,Yes,None,Independence Division
2020/01,Stop Light/Sign,White,M,12,White,F,44,Yes,Verbal Warning,North Division
2020/01,Speeding,White,M,2,White,M,30,Yes,Citation,Metro Division
2020/01,Stop Light/Sign,White,M,7,Black,M,30,No,Arrest,Metro Division
2020/01,Investigation,Not Specified,M,9,Black,M,30,No,Verbal Warning,Westover Division
2020/01,Vehicle Regulatory,White,M,3,White,M,23,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Equipment,Asian/Pacific Islander,M,8,Black,M,35,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,39,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,Black/African American,M,10,Black,F,38,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,13,Black,F,32,No,Arrest,University City Division
2020/01,Other,White,M,4,Other/Unknown,M,100,Yes,None,Central Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,25,Yes,Verbal Warning,North Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,29,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Equipment,Black/African American,M,9,Black,F,53,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Equipment,American Indian/Alaska Native,M,2,Black,M,35,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Other/Unknown,M,25,Yes,Verbal Warning,Westover Division
2020/01,Vehicle Equipment,White,M,6,Black,F,33,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Black,M,30,No,Arrest,Central Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,40,No,Arrest,Eastway Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Black,M,55,Yes,Arrest,North Tryon Division
2020/01,Driving While Impaired,White,M,3,Black,M,24,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Equipment,American Indian/Alaska Native,M,2,Black,M,25,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,35,Yes,Verbal Warning,Metro Division
2020/01,Safe Movement,2 or More,M,2,Black,F,40,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,1,Black,M,32,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,Black/African American,M,5,Other/Unknown,M,30,Yes,None,Freedom Division
2020/01,Vehicle Equipment,White,F,4,Black,F,35,Yes,Verbal Warning,Eastway Division
2020/01,Safe Movement,White,M,3,Hispanic/Latino,M,35,Yes,Verbal Warning,
2020/01,Safe Movement,White,M,6,Black,M,25,No,Citation,Central Division
2020/01,Vehicle Regulatory,White,F,4,Black,M,34,Yes,Verbal Warning,Eastway Division
2020/01,Safe Movement,Asian/Pacific Islander,M,8,Black,M,17,No,Citation,Metro Division
2020/01,Safe Movement,2 or More,M,2,Black,M,30,No,Written Warning,Central Division
2020/01,Investigation,Black/African American,M,6,White,M,20,Yes,None,University City Division
2020/01,Stop Light/Sign,White,M,4,Black,F,45,Yes,Verbal Warning,North Division
2020/01,Vehicle Equipment,Not Specified,M,12,Black,F,34,Yes,Verbal Warning,South Division
2020/01,Investigation,White,M,3,Black,M,38,No,Arrest,Freedom Division
2020/01,Vehicle Equipment,Hispanic/Latino,M,10,Asian,M,28,Yes,Verbal Warning,Central Division
2020/01,Speeding,White,M,32,Black,M,23,Yes,Citation,University City Division
2020/01,Speeding,White,M,19,Black,M,20,Yes,Verbal Warning,Providence Division
2020/01,Investigation,White,M,12,Black,M,34,Yes,Verbal Warning,Freedom Division
2020/01,Vehicle Equipment,White,M,15,Black,M,27,No,Verbal Warning,Eastway Division
2020/01,Safe Movement,Black/African American,M,26,Black,M,27,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,White,M,19,Black,M,29,Yes,Citation,Providence Division
2020/01,Stop Light/Sign,White,M,17,Black,M,35,Yes,Verbal Warning,Providence Division
2020/01,Speeding,White,M,21,White,F,30,Yes,Verbal Warning,Westover Division
2020/01,Speeding,White,M,12,Hispanic/Latino,M,23,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,10,White,M,31,Yes,Verbal Warning,Providence Division
2020/01,Speeding,White,M,12,Black,M,21,Yes,Citation,Hickory Grove Division
2020/01,Other,White,M,4,White,M,40,Yes,Verbal Warning,
2020/01,Speeding,White,M,12,Black,F,42,Yes,Citation,Hickory Grove Division
2020/01,Speeding,White,M,10,Black,M,25,Yes,Verbal Warning,Independence Division
2020/01,Speeding,Asian/Pacific Islander,M,10,White,F,44,Yes,Citation,Providence Division
2020/01,Stop Light/Sign,Black/African American,M,26,White,M,47,Yes,Citation,Westover Division
2020/01,Speeding,White,M,12,Black,M,42,Yes,Verbal Warning,Hickory Grove Division
2020/01,Stop Light/Sign,White,M,22,White,F,44,Yes,Citation,Westover Division
2020/01,Speeding,Black/African American,M,26,White,M,30,Yes,Citation,Westover Division
2020/01,Vehicle Regulatory,White,M,12,White,F,22,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,2,Black,M,43,Yes,Citation,Metro Division
2020/01,Vehicle Regulatory,White,M,11,Black,M,26,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,Asian/Pacific Islander,M,10,Two or more,M,25,Yes,Citation,Providence Division
2020/01,Speeding,White,F,13,Black,F,40,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,White,M,11,White,M,85,Yes,Citation,Freedom Division
2020/01,Speeding,White,M,12,White,M,46,Yes,Citation,South Division
2020/01,Speeding,Asian/Pacific Islander,M,23,White,F,40,Yes,Citation,North Tryon Division
2020/01,Speeding,White,M,12,Black,M,30,No,Citation,Hickory Grove Division
2020/01,Speeding,White,M,11,Black,M,50,Yes,Citation,Freedom Division
2020/01,Vehicle Regulatory,White,F,5,Black,M,24,Yes,Citation,University City Division
2020/01,Speeding,White,M,26,White,F,18,Yes,Verbal Warning,Providence Division
2020/01,Speeding,White,M,11,Black,F,38,Yes,Citation,Freedom Division
2020/01,Speeding,White,F,13,White,M,25,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,Asian/Pacific Islander,M,10,White,M,34,Yes,Verbal Warning,Providence Division
2020/01,Speeding,White,F,13,Asian,F,32,Yes,Citation,Freedom Division
2020/01,Speeding,White,M,1,Black,M,20,Yes,None,North Tryon Division
2020/01,Speeding,Asian/Pacific Islander,M,23,Asian,M,23,Yes,Citation,
2020/01,Vehicle Regulatory,White,M,15,Black,M,22,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,White,M,15,Black,M,26,Yes,Verbal Warning,Eastway Division
2020/01,Speeding,White,M,10,Black,M,32,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,10,White,F,38,Yes,Verbal Warning,Providence Division
2020/01,Speeding,Black/African American,M,26,Black,F,25,Yes,Written Warning,Westover Division
2020/01,Stop Light/Sign,Black/African American,F,4,Hispanic/Latino,F,69,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,10,White,F,30,Yes,Written Warning,Independence Division
2020/01,Speeding,Asian/Pacific Islander,M,10,Asian,M,41,Yes,Citation,Providence Division
2020/01,Speeding,White,M,12,White,M,52,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,12,White,M,31,Yes,Citation,South Division
2020/01,Speeding,White,M,25,Black,M,36,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,25,White,M,49,Yes,Citation,South Division
2020/01,Speeding,White,M,4,Black,M,24,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,F,13,Black,M,45,Yes,Verbal Warning,Steele Creek Division
2020/01,Speeding,Asian/Pacific Islander,M,23,Hispanic/Latino,M,20,Yes,Citation,Metro Division
2020/01,Speeding,White,F,13,Black,F,30,Yes,Citation,Steele Creek Division
2020/01,Vehicle Regulatory,White,M,11,Black,M,45,Yes,Verbal Warning,Steele Creek Division
2020/01,Vehicle Regulatory,White,M,26,Black,M,43,Yes,Verbal Warning,Providence Division
2020/01,Speeding,White,M,3,White,M,30,Yes,Verbal Warning,Metro Division
2020/01,Speeding,White,M,4,Black,F,25,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,White,M,12,White,M,71,Yes,Verbal Warning,South Division
2020/01,Stop Light/Sign,Black/African American,M,26,White,F,36,Yes,Citation,Westover Division
2020/01,Stop Light/Sign,White,M,12,Asian,M,18,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,41,Yes,Citation,Hickory Grove Division
2020/01,SeatBelt,White,M,4,Black,M,26,No,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,12,Black,M,45,Yes,Citation,South Division
2020/01,Vehicle Regulatory,Hispanic/Latino,F,3,Black,M,30,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,12,Black,M,47,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,2,White,F,20,No,Citation,Eastway Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Two or more,M,30,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,1,Black,F,53,Yes,Citation,North Tryon Division
2020/01,Vehicle Regulatory,Black/African American,M,4,White,M,40,Yes,Verbal Warning,Central Division
2020/01,Speeding,White,F,13,Black,M,35,Yes,Citation,Freedom Division
2020/01,Vehicle Regulatory,White,M,1,Hispanic/Latino,M,40,Yes,Verbal Warning,Metro Division
2020/01,Speeding,White,M,5,Asian,M,33,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,2,Other/Unknown,M,20,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,26,Black,F,30,Yes,Citation,Westover Division
2020/01,Speeding,White,M,12,White,F,17,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,61,Yes,Citation,Metro Division
2020/01,Vehicle Regulatory,White,M,5,Hispanic/Latino,M,43,Yes,Citation,North Tryon Division
2020/01,Speeding,Hispanic/Latino,F,3,Hispanic/Latino,M,30,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,4,Hispanic/Latino,M,23,Yes,Verbal Warning,South Division
2020/01,Vehicle Equipment,Black/African American,M,9,Black,F,25,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,5,White,F,73,Yes,Verbal Warning,South Division
2020/01,Speeding,Hispanic/Latino,F,3,Black,F,18,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,12,White,F,20,Yes,Verbal Warning,South Division
2020/01,Safe Movement,White,M,1,Other/Unknown,M,28,Yes,Verbal Warning,North Tryon Division
2020/01,Stop Light/Sign,White,M,4,Black,F,30,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Hispanic/Latino,F,3,White,M,40,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,29,Yes,Arrest,North Tryon Division
2020/01,Speeding,White,M,12,Black,F,25,Yes,Citation,Freedom Division
2020/01,Vehicle Regulatory,Hispanic/Latino,F,3,Black,M,18,Yes,Verbal Warning,South Division
2020/01,Safe Movement,White,M,30,Black,M,79,Yes,Verbal Warning,Steele Creek Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Black,F,27,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,White,M,12,White,F,47,Yes,Verbal Warning,South Division
2020/01,Speeding,Hispanic/Latino,F,3,White,M,30,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,5,White,F,48,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,14,White,M,47,Yes,Written Warning,South Division
2020/01,Safe Movement,White,M,4,Black,M,20,No,Verbal Warning,North Tryon Division
2020/01,Speeding,Hispanic/Latino,F,3,White,M,60,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,White,M,33,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,27,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Equipment,White,M,4,Black,M,40,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,22,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,Hispanic/Latino,F,3,White,M,25,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,Black/African American,M,8,Black,M,38,Yes,Verbal Warning,Providence Division
2020/01,Speeding,White,M,14,Black,F,44,Yes,Citation,
2020/01,Vehicle Equipment,White,M,1,Black,M,30,No,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,Hispanic/Latino,F,3,White,M,30,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,Black/African American,M,4,White,F,37,Yes,Verbal Warning,Freedom Division
2020/01,Stop Light/Sign,White,M,5,White,M,37,Yes,Citation,Steele Creek Division
2020/01,Speeding,White,M,4,Black,M,22,Yes,Citation,North Tryon Division
2020/01,Vehicle Equipment,White,M,4,Black,M,21,No,Citation,North Tryon Division
2020/01,Speeding,White,M,14,White,F,34,Yes,Written Warning,South Division
2020/01,Speeding,Hispanic/Latino,F,3,Black,M,38,Yes,Citation,South Division
2020/01,Stop Light/Sign,White,M,2,Hispanic/Latino,M,45,Yes,Citation,Central Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,18,Yes,Verbal Warning,Independence Division
2020/01,Speeding,White,M,4,Black,F,32,Yes,Citation,North Tryon Division
2020/01,Vehicle Equipment,White,M,7,Hispanic/Latino,M,18,Yes,Verbal Warning,Steele Creek Division
2020/01,Speeding,White,M,5,Hispanic/Latino,F,35,Yes,Citation,Westover Division
2020/01,Speeding,White,F,4,Black,M,22,Yes,Citation,North Tryon Division
2020/01,Vehicle Regulatory,White,M,8,Black,M,50,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,White,M,4,Black,M,50,Yes,Citation,North Tryon Division
2020/01,Speeding,White,M,5,White,M,70,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,M,3,Two or more,M,18,No,Citation,Independence Division
2020/01,Safe Movement,White,M,8,Black,F,35,Yes,Verbal Warning,Freedom Division
2020/01,Stop Light/Sign,White,M,8,Black,M,40,No,Verbal Warning,Freedom Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,40,No,Verbal Warning,Westover Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,35,No,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,3,White,F,42,Yes,Citation,Hickory Grove Division
2020/01,Safe Movement,White,M,19,Black,M,25,No,Verbal Warning,South Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Black,M,20,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,White,M,5,White,F,24,Yes,Verbal Warning,Westover Division
2020/01,Speeding,White,M,10,Black,M,29,Yes,Citation,Providence Division
2020/01,Speeding,White,M,4,Black,F,44,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,White,M,25,Hispanic/Latino,M,25,Yes,Verbal Warning,Westover Division
2020/01,Speeding,White,F,4,Two or more,M,27,Yes,Written Warning,Westover Division
2020/01,Vehicle Equipment,White,M,11,Black,M,23,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,22,Yes,Verbal Warning,Westover Division
2020/01,Speeding,Hispanic/Latino,M,10,Black,F,30,Yes,Written Warning,Westover Division
2020/01,Speeding,White,M,4,Hispanic/Latino,M,17,Yes,Citation,North Tryon Division
2020/01,Speeding,White,M,10,Black,F,20,Yes,Citation,Providence Division
2020/01,Speeding,White,M,25,White,F,18,Yes,Citation,Westover Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,26,No,Verbal Warning,North Tryon Division
